AdID,AdText,Clicks,Impressions,Age,CreationDate,LandingPage,Location,Interests,AdSpend,AdSpendCurrency,AccountGroup,AccountGroupCluster,CreationDateFormatted,CreationDateInteger,AgeAverage,AgeAverageBin,AdSpendBin,ClicksBin,ImpressionsBin
374,Join us because we care. Black matters.,0.0,137.0,18 - 65+,06/10/15 02:59:53 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,United States: Baltimore (+20 km) Maryland; St. Louis (+20 km) Missouri,unavailable,44.87,RUB,black matters,1,2015-06-10,20150610,41.5,MidAge,mid,low,mid
655,"NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol,. with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today. The two recent U.S. wars were costly for our nation; to put it lightly. They led to domestic devastation of country. No matter what Defense Secretary or POTUS are saying they don't fool me with promises of gay military equality as key to the nation's agenda. Better talk to me about cutting DoD's budget. FOLKS. #Igbt #USarmy #CrossDress #GaySoldier #Obama #DefenseBudget #StopWar",35.0,452.0,18 - 65+,06/23/15 07:04:01 AM PDT,https://www.facebook.com/LGBT-United-839497472793277/,Living In: United States,unavailable,184.81,RUB,lgbt united,Unavailable,2015-06-23,20150623,41.5,MidAge,mid,mid,mid
664,"""People can tolerate two homosexuals they see leaving together, but the next  day they're smiling, holding hands, tenderly embracing one another, then they  cannot be forgiven. It is not the departure for pleasure that is unacceptable, it  is waking up happy.""  -Michel Foucault, philosopher and social critic.  #lgbt #homophobia #Foucault #society #queerquote",26.0,374.0,18 - 65+,06/23/15 07:02:40 AM PDT,https://www.facebook.com/LGBT-United-839497472793277/,Living In: United States,unavailable,99.95,RUB,lgbt united,Unavailable,2015-06-23,20150623,41.5,MidAge,mid,mid,mid
79,,0.0,31.0,18 - 65+,06/09/15 03:50:21 AM PDT,https://www.facebook.com/pages/L-for-life/994910227187446,United States,unavailable,33.59,RUB,l for life,1,2015-06-09,20150609,41.5,MidAge,mid,low,low
325,"California... knows how to party California... knows how to party In the citaaay of L.A. In the citaaay of good of Watts In the citaaay, the city of Compton We keep it rockin! We keep it rockin! - 2Pac - California Love",4.0,326.0,18 - 65+,06/10/15 07:34:52 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio",unavailable,45.94,RUB,black matters,1,2015-06-10,20150610,41.5,MidAge,mid,mid,mid
326,"Since 2010, over 350 of our lives have been taken at the hands of police. Those lives of which, were made to be worthless because of our race. Each time we die, many of your people, and those who stand by you, justify the taking of our lives, because they believe we are not human, and are not worthy of life. Why should we be a target for police violence and harassment?",517.0,1478.0,18 - 65+,06/12/15 03:13:16 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,"United States Baltimore Maryland: Ferguson, St. Louis Missouri; Cleveland Ohio",unavailable,99.97,RUB,black matters,1,2015-06-12,20150612,41.5,MidAge,mid,high,mid
327,"'Just like Trayvon Martin, race mattered for Amadou Diallo, Oscar Grant, Sean Bell, Emmett Till, and [thousands] more we will never know the name of who died because of their skin color."" - Angela Davis.        Racism is still alive in the USA.",7.0,125.0,18 - 65+,06/11/15 06:51:30 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio",unavailable,34.77,RUB,black matters,1,2015-06-11,20150611,41.5,MidAge,mid,mid,mid
328,"Race war started by Texas teacher A Texas fourth-grade teacher Karen Fitzgibbons published a racial Facebook post in which she confirmed that Black people are responsible for racial tensions in the USA. Moreover she claimed that she is ""almost to the point"" of defending the segregation. After her post about the recent pool party incident drew local attention, the teacher deleted her profile. ""This makes me ANGRY! This officer should not have had to resign. I'm going to just go ahead and say it....the blacks are the ones causing the problems and this ̀ racial tension. I guess that's what happens when you flunk out of school and have no education. I'm sure their parents are just as guilty for not knowing what their kids were doing; or knew it and didn't care,"" she wrote. She also added,""I'm almost to the point of wanting them all segregated on one side of town so they can hurt each other and leave the innocent people alone. Maybe the 50s and 60s were really on to something. Now, let the bashing of my true and honest opinion begin .... GO! #imnotracist #imsickofthemcausingtrouble #itwasagatedcommunity"". As we see Karen Fitzgibbons is a real racist, who approves the humiliation of black people! This news clearly reflects that American society is close to collapse, if not to say to war. As the authorities are doing nothing to resolve the situation, in the near future we may face real race war within our country.",17.0,168.0,18 - 65+,06/11/15 07:03:58 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio",unavailable,31.54,RUB,black matters,1,2015-06-11,20150611,41.5,MidAge,mid,mid,mid
329,"The image of 1938 shows several African American Youths dangling around the stairs leading up to the back entrance of a segregated movie theater in Anniston, Alabama.That day the Tarzan film, Call of the Savage was shown.",18.0,482.0,18 - 65+,06/15/15 07:21:33 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio",unavailable,90.65,RUB,black matters,1,2015-06-15,20150615,41.5,MidAge,mid,mid,mid
330,"American Racists On The Road        The racists group of America ""Back To The Blue"" are organizing a hate rally in response to the public outcry and protests against police officers. ""Bikers-patriots"" want to descend on the McKinney Police HQ in a show of solidarity for the police because race-baiters and cop-haters. They plan to have ""the biggest thing to happen in Patriot Movement since the Bundy Ranch victory!"" It seems like we won't get into ""post-racial America"".... this event and the regular murder of innocent Black children by white supremacist police and citizens makes that clear. The modern government has brought racist America to the forefront, good or bad. This is something that America has a serious issue with - RACISM! Is it time to call out the national guard?",24.0,524.0,18 - 65+,06/15/15 07:22:00 AM PDT,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio",unavailable,88.45,RUB,black matters,1,2015-06-15,20150615,41.5,MidAge,mid,mid,mid
