group1,group2,weight
blackluive,black matters us,2
blackluive,justice for ezell ford and donnell thompson,2
blackluive,don't shoot,2
blackluive,black edification,2
blackluive,black baptist church,2
blackluive,nefertiti's community,2
blackluive,black4black,2
blackluive,fit black,2
blackluive,cop block us,2
blackluive,black matters,2
blackluive,blacks go viral,2
blackluive,afrokingdom,2
blackluive,baltimore.blackvoice,2
blackluive,black excellence,2
blackluive,watch the police,2
blackluive,bm,2
blackluive,pan-african roots move,2
blackluive,williams&kalvin,2
blackluive,born black,2
blackluive,black guns matter,2
blackluive,blacktlivist,2
blackluive,instagnan,2
blackluive,blacktivist,2
blackluive,blackstagram,2
blackluive,woke blacks,2
stop refugees,bm,4
stop refugees,secured borders,2
stop refugees,gov spending,4
stop refugees,stop a.l.,78
black matters us,justice for ezell ford and donnell thompson,2
black matters us,don't shoot,10
black matters us,black edification,12
black matters us,black baptist church,4
black matters us,nefertiti's community,8
black matters us,black4black,42
black matters us,fit black,42
black matters us,cop block us,6
black matters us,black matters,2
black matters us,blacks go viral,4
black matters us,afrokingdom,4
black matters us,baltimore.blackvoice,2
black matters us,black excellence,38
black matters us,watch the police,20
black matters us,bm,42
black matters us,pan-african roots move,42
black matters us,williams&kalvin,42
black matters us,born black,4
black matters us,black guns matter,32
black matters us,blacktlivist,2
black matters us,instagnan,2
black matters us,blacktivist,42
black matters us,blackstagram,10
black matters us,woke blacks,42
make america great again donald j trump,angry eagle,2
make america great again donald j trump,rebeltexas,2
make america great again donald j trump,instagnan,2
make america great again donald j trump,southern.rebel.pride,2
make america great again donald j trump,american.veterans,2
make america great again donald j trump,south united,2
make america great again donald j trump,american.made,2
make america great again donald j trump,secured borders,2
make america great again donald j trump,donald trump america,2
make america great again donald j trump,veterans come first,2
make america great again donald j trump,army of jesus,2
make america great again donald j trump,stand for freedom,2
make america great again donald j trump,gov spending,2
make america great again donald j trump,trumpsters united,2
make america great again donald j trump,mericanfury,2
make america great again donald j trump,being patriotic,2
make america great again donald j trump,heart of texas,2
make america great again donald j trump,stop a.l.,2
make america great again donald j trump,muslim voice,2
justice for ezell ford and donnell thompson,afrokingdom,2
justice for ezell ford and donnell thompson,black baptist church,2
justice for ezell ford and donnell thompson,cop block us,4
justice for ezell ford and donnell thompson,black matters,2
justice for ezell ford and donnell thompson,brown power,4
justice for ezell ford and donnell thompson,blacks go viral,2
justice for ezell ford and donnell thompson,pray4police,2
justice for ezell ford and donnell thompson,baltimore.blackvoice,2
justice for ezell ford and donnell thompson,black excellence,2
justice for ezell ford and donnell thompson,watch the police,2
justice for ezell ford and donnell thompson,musliminst,2
justice for ezell ford and donnell thompson,united muslims of america,2
justice for ezell ford and donnell thompson,bm,6
justice for ezell ford and donnell thompson,pan-african roots move,2
justice for ezell ford and donnell thompson,blacktlivist,2
justice for ezell ford and donnell thompson,born black,2
justice for ezell ford and donnell thompson,american.veterans,2
justice for ezell ford and donnell thompson,black guns matter,2
justice for ezell ford and donnell thompson,williams&kalvin,6
justice for ezell ford and donnell thompson,instagnan,2
justice for ezell ford and donnell thompson,blacktivist,2
justice for ezell ford and donnell thompson,blackstagram,4
justice for ezell ford and donnell thompson,born liberal,4
justice for ezell ford and donnell thompson,woke blacks,2
justice for ezell ford and donnell thompson,bernie sanders for president,2
don't shoot,afrokingdom,4
don't shoot,justice for ezell ford and donnell thompson,4
don't shoot,black edification,10
don't shoot,defend the 2nd,2
don't shoot,black baptist church,4
don't shoot,nefertiti's community,8
don't shoot,black4black,10
don't shoot,cop block us,10
don't shoot,black matters,2
don't shoot,blacks go viral,4
don't shoot,pray4police,4
don't shoot,baltimore.blackvoice,2
don't shoot,black excellence,10
don't shoot,watch the police,10
don't shoot,musliminst,2
don't shoot,born liberal,2
don't shoot,united muslims of america,2
don't shoot,bm,14
don't shoot,heart of texas,2
don't shoot,pan-african roots move,10
don't shoot,blacktlivist,2
don't shoot,gov spending,2
don't shoot,born black,4
don't shoot,american.veterans,2
don't shoot,black guns matter,10
don't shoot,williams&kalvin,14
don't shoot,instagnan,2
don't shoot,patriot's heart,2
don't shoot,blacktivist,10
don't shoot,l for life,2
don't shoot,blackstagram,12
don't shoot,southern.rebel.pride,4
don't shoot,woke blacks,10
don't shoot,bernie sanders for president,2
black edification,black guns matter,12
black edification,blacktlivist,2
black edification,watch the police,12
black edification,woke blacks,12
black edification,blacktivist,12
