group1,group2,weight
blackluive,lgbt united,12
blackluive,black matters us,10
blackluive,stop refugees,10
blackluive,melanie panther,2
blackluive,isagan,2
blackluive,hell_and_back,4
blackluive,don't shoot,12
blackluive,black edification,6
blackluive,stand for freedom,2
blackluive,defend the 2nd,4
blackluive,black baptist church,8
blackluive,melanie black,2
blackluive,panther melanie,2
blackluive,nefertiti's community,6
blackluive,black4black,8
blackluive,american.made,4
blackluive,cop block us,6
blackluive,black matters,12
blackluive,sincerely_black,4
blackluive,brown power,10
blackluive,memopolis,10
blackluive,blacks go viral,4
blackluive,afrokingdom,4
blackluive,baltimore.blackvoice,2
blackluive,black excellence,6
blackluive,stop a.l.,12
blackluive,watch the police,6
blackluive,musliminst,2
blackluive,southern.rebel.pride,4
blackluive,blacktivist,12
blackluive,bm,12
blackluive,heart of texas,10
blackluive,south united,2
blackluive,pan-african roots move,10
blackluive,williams&kalvin,12
blackluive,gov spending,4
blackluive,mericanfury,4
blackluive,army of jesus,10
blackluive,born black,10
blackluive,muslim voice,6
blackluive,black guns matter,6
blackluive,united muslims of america,12
blackluive,instagnan,10
blackluive,american.veterans,2
blackluive,back the badge,6
blackluive,secured borders,10
blackluive,blackstagram,8
blackluive,born liberal,8
blackluive,being patriotic,12
blackluive,woke blacks,8
blackluive,trumpsters united,2
lgbt united,blackluive,12
lgbt united,stop refugees,44
lgbt united,black matters us,34
lgbt united,rebeltexas,6
lgbt united,melanie panther,2
lgbt united,isagan,2
lgbt united,hell_and_back,8
lgbt united,don't shoot,82
lgbt united,black edification,16
lgbt united,stand for freedom,4
lgbt united,defend the 2nd,8
lgbt united,black baptist church,8
lgbt united,melanie black,2
lgbt united,panther melanie,2
lgbt united,nefertiti's community,24
lgbt united,the red pill,20
lgbt united,black4black,30
lgbt united,liberty_rising,4
lgbt united,american.made,22
lgbt united,justice for ezell ford and donnell thompson,10
lgbt united,cop block us,20
lgbt united,black matters,154
lgbt united,sincerely_black,6
lgbt united,brown power,134
lgbt united,memopolis,122
lgbt united,blacks go viral,4
lgbt united,afrokingdom,16
lgbt united,baltimore.blackvoice,6
lgbt united,black excellence,48
