StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10,Q11,Q13,Q12,Q5_1,Q5_2,Q5_3,Q5_4,Q7_1,Q7_2,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q11_1,Q12_1,Q13_1,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q20_2,Q21_1,Q21_2,Q21_3,Q22_1,Q22_2,Q22_3,Q22_4,Q23,Q24,Q25,Q26,Q37_1,Q37_2,Q37_3,Q37_4,Q38_1,Q38_2,Q39_1,Q39_2,Q39_3,Q40_1,Q40_2,Q40_3,Q40_4,Q41,Q42,Q43,Q44,Q28_1,Q28_2,Q28_3,Q28_4,Q29_1,Q29_2,Q30_1,Q30_2,Q30_3,Q31_1,Q31_2,Q31_3,Q31_4,Q32,Q33,Q34,Q35,Q46_1,Q46_2,Q46_3,Q46_4,Q47_1,Q47_2,Q48_1,Q48_2,Q48_3,Q49_1,Q49_2,Q49_3,Q49_4,Q50,Q51,Q52,Q53,Q55_1,Q55_2,Q55_3,Q55_4,Q56_1,Q56_2,Q57_1,Q57_2,Q57_3,Q58_1,Q58_2,Q58_3,Q58_4,Q59,Q60,Q61,Q62,Q64_1,Q64_2,Q64_3,Q64_4,Q65_1,Q65_2,Q66_1,Q66_2,Q66_3,Q67_1,Q67_2,Q67_3,Q67_4,Q68,Q69,Q70,Q71,Q73_1,Q73_2,Q73_3,Q73_4,Q74_1,Q74_2,Q75_1,Q75_2,Q75_3,Q76_1,Q76_2,Q76_3,Q76_4,Q77,Q78,Q79,Q80,Q82_1,Q82_2,Q82_3,Q82_4,Q83_1,Q83_2,Q84_1,Q84_2,Q84_3,Q85_1,Q85_2,Q85_3,Q85_4,Q86,Q87,Q88,Q89,Q91_1,Q91_2,Q91_3,Q91_4,Q92_1,Q92_2,Q93_1,Q93_2,Q93_3,Q94_1,Q94_2,Q94_3,Q94_4,Q95,Q96,Q97,Q98,image_tag,image_url,image_id,AdID,AdText,Clicks,Impressions,Age,CreationDate,LandingPage,Location,Interests,AdSpend,AdSpendCurrency,AccountGroup,AccountGroupCluster,CreationDateFormatted,CreationDateInteger,AgeAverage,AgeAverageBin,AdSpendBin,ClicksBin,ImpressionsBin
2019-01-26 17:44:01,2019-01-26 17:44:02,Survey Test,NA,100,1,True,2019-01-26 17:44:02,R_bgejJe0Iwv9a7KB,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,65+ yrs. old,Other / multiple,Strong Democrat,Strong Partisan,60,82,78,3,52,100,93,62,13,97,75,58,15,Just about always,Agree,Don't know,Most of the time,78,0,56,65,61,63,57,93,77,35,92,68,10,Most of the time,Neither,Don't care,Only now and then,79,19,40,96,33,47,11,73,10,53,85,7,96,"Don't know, depends",Agree,Don't know,Hardly at all,35,88,59,52,38,1,87,31,12,31,55,41,94,Most of the time,Disagree,Don't know,Some of the time,37,0,27,75,19,70,33,37,65,82,30,66,41,Most of the time,Neither,Care a good deal,Some of the time,24,51,16,98,99,13,66,96,53,92,25,78,35,Just about always,Disagree,Don't care,Hardly at all,91,56,50,88,59,43,69,31,76,43,63,83,50,None of the time,Agree,Care a good deal,Most of the time,82,67,8,18,45,12,22,7,55,0,79,59,24,"Don't know, depends",Neither,Don't know,Only now and then,25,16,83,99,34,69,9,16,59,100,53,21,35,Just about always,Agree,Care a good deal,Hardly at all,98,54,60,30,30,31,64,22,98,38,1,33,3,None of the time,Agree,Care a good deal,Some of the time,imgTagsChild.imgTag2,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_1879.png""/>",1879,2086,This page is dedicated to protection against illegal immigrants!,0,0,25 - 65+,03/10/16 06:10:18 AM PST,https://www.facebook.com/Stop-Al-896610653786585/,"United Kingdom, United States",unavailable,0,unavailable,stop a.l.,cluster_2,2016-03-10,20160310,45,HighAge,low,low,low
2019-01-26 17:44:01,2019-01-26 17:44:01,Survey Test,NA,100,0,True,2019-01-26 17:44:01,R_9ZVjcMAUjsBCbdj,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,65+ yrs. old,White non-Hispanic,Independent Independent,Leaning Independent,81,48,10,78,69,22,40,28,79,51,77,75,80,Most of the time,Agree,Don't know,Only now and then,51,58,6,19,65,51,62,84,0,83,79,69,33,None of the time,Disagree,Don't know,Some of the time,84,50,59,17,17,96,47,43,24,24,19,8,94,Most of the time,Neither,Don't care,Only now and then,96,39,0,2,99,77,87,51,93,22,5,84,21,Just about always,Neither,Don't care,Only now and then,79,4,81,14,89,12,96,38,76,23,92,24,9,Some of the time,Agree,Don't care,Most of the time,66,67,45,77,85,23,6,24,50,84,91,17,97,Most of the time,Agree,Care a good deal,Some of the time,82,34,36,34,92,25,3,53,62,67,9,15,77,"Don't know, depends",Disagree,Care a good deal,Some of the time,79,60,76,93,47,44,96,92,6,90,99,1,76,"Don't know, depends",Neither,Don't know,Some of the time,99,66,80,28,77,59,5,41,88,49,51,8,13,Some of the time,Disagree,Don't know,Hardly at all,67,18,33,33,87,11,4,8,11,46,93,69,90,Some of the time,Agree,Care a good deal,Most of the time,imgTagsChild.imgTag7,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_1987.png""/>",1987,2385,We're proud to announce an initiative focused on providing free legal education to empower our people and strengthen our community. We believe that having these legal workshops on a monthly basis will prove to be beneficial in a tangible way for our community i eet ou at Charlotte. NC Legal Night at=,0,0,18 - 65+,02/22/17 07:03:12 AM PST,https://www.facebook.com/events/651125608392879/,Living In: United States: Charlotte (+25 mi) North Carolina,Black America,0,unavailable,bm,cluster_1,2017-02-22,20170222,41.5,MidAge,low,low,low
2019-01-26 17:44:01,2019-01-26 17:44:02,Survey Test,NA,100,1,True,2019-01-26 17:44:02,R_bgejJe0Iwv9a7KB,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,65+ yrs. old,Other / multiple,Strong Democrat,Strong Partisan,60,82,78,3,52,100,93,62,13,97,75,58,15,Just about always,Agree,Don't know,Most of the time,78,0,56,65,61,63,57,93,77,35,92,68,10,Most of the time,Neither,Don't care,Only now and then,79,19,40,96,33,47,11,73,10,53,85,7,96,"Don't know, depends",Agree,Don't know,Hardly at all,35,88,59,52,38,1,87,31,12,31,55,41,94,Most of the time,Disagree,Don't know,Some of the time,37,0,27,75,19,70,33,37,65,82,30,66,41,Most of the time,Neither,Care a good deal,Some of the time,24,51,16,98,99,13,66,96,53,92,25,78,35,Just about always,Disagree,Don't care,Hardly at all,91,56,50,88,59,43,69,31,76,43,63,83,50,None of the time,Agree,Care a good deal,Most of the time,82,67,8,18,45,12,22,7,55,0,79,59,24,"Don't know, depends",Neither,Don't know,Only now and then,25,16,83,99,34,69,9,16,59,100,53,21,35,Just about always,Agree,Care a good deal,Hardly at all,98,54,60,30,30,31,64,22,98,38,1,33,3,None of the time,Agree,Care a good deal,Some of the time,imgTagsChild.imgTag3,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_2670.png""/>",2670,1578,We want to live in the country with no fear!,0,0,18 - 54,02/12/16 05:52:58 AM PST,https://www.facebook.com/BlackJourney2Justice/,United States,Black America,0,unavailable,don't shoot,cluster_1,2016-02-12,20160212,36,LowAge,low,low,low
2019-01-26 17:44:01,2019-01-26 17:44:01,Survey Test,NA,100,0,True,2019-01-26 17:44:01,R_0NBGdCqR5fNErI1,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,50—59 yrs. old,Hispanic,Strong Democrat,Leaning Independent,13,95,52,33,95,95,46,43,87,89,8,96,7,"Don't know, depends",Agree,Don't know,Most of the time,78,55,63,59,62,64,75,69,99,6,27,72,54,None of the time,Agree,Don't know,Some of the time,95,84,19,2,63,49,95,66,71,94,74,1,79,"Don't know, depends",Agree,Care a good deal,Some of the time,87,77,80,94,29,31,33,23,11,34,14,70,11,Some of the time,Neither,Care a good deal,Some of the time,6,41,40,12,9,39,76,87,66,3,22,59,94,Just about always,Agree,Don't know,Some of the time,83,62,97,100,19,46,93,20,61,27,17,46,36,"Don't know, depends",Agree,Don't know,Only now and then,6,70,41,81,57,85,22,84,58,69,73,44,76,Some of the time,Neither,Don't care,Hardly at all,35,76,37,36,52,61,37,26,3,54,22,35,85,Most of the time,Agree,Don't know,Only now and then,5,51,0,100,13,34,51,32,27,13,46,3,41,Most of the time,Disagree,Care a good deal,Only now and then,36,22,22,83,40,50,71,85,63,63,16,5,26,None of the time,Agree,Don't care,Most of the time,imgTagsChild.imgTag8,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_2502.png""/>",2502,1361,This page is dedicated to protection against illegal immigrants! Like to join!,0,0,35 - 65+,04/13/16 07:46:49 AM PDT,https://www.facebook.com/Stop-Al-896610653786585/,United States,Immigration,0,unavailable,stop a.l.,cluster_2,2016-04-13,20160413,50,HighAge,low,low,low
2019-01-26 17:44:01,2019-01-26 17:44:02,Survey Test,NA,100,1,True,2019-01-26 17:44:02,R_bgejJe0Iwv9a7KB,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,65+ yrs. old,Other / multiple,Strong Democrat,Strong Partisan,60,82,78,3,52,100,93,62,13,97,75,58,15,Just about always,Agree,Don't know,Most of the time,78,0,56,65,61,63,57,93,77,35,92,68,10,Most of the time,Neither,Don't care,Only now and then,79,19,40,96,33,47,11,73,10,53,85,7,96,"Don't know, depends",Agree,Don't know,Hardly at all,35,88,59,52,38,1,87,31,12,31,55,41,94,Most of the time,Disagree,Don't know,Some of the time,37,0,27,75,19,70,33,37,65,82,30,66,41,Most of the time,Neither,Care a good deal,Some of the time,24,51,16,98,99,13,66,96,53,92,25,78,35,Just about always,Disagree,Don't care,Hardly at all,91,56,50,88,59,43,69,31,76,43,63,83,50,None of the time,Agree,Care a good deal,Most of the time,82,67,8,18,45,12,22,7,55,0,79,59,24,"Don't know, depends",Neither,Don't know,Only now and then,25,16,83,99,34,69,9,16,59,100,53,21,35,Just about always,Agree,Care a good deal,Hardly at all,98,54,60,30,30,31,64,22,98,38,1,33,3,None of the time,Agree,Care a good deal,Some of the time,imgTagsChild.imgTag8,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_1663.png""/>",1663,3283,This group is basically to bring together all who have faced the wrath of prison life. Hell And Back,94,2271,18 - 65+,12/29/16 01:33:44 AM PST,https://www.facebook.com/Hell—and—Back-1806743482876111/,United States,Incarceration,3000,RUB,hell_and_back,cluster_1,2016-12-29,20161229,41.5,MidAge,high,mid,mid
2019-01-26 17:44:01,2019-01-26 17:44:01,Survey Test,NA,100,0,True,2019-01-26 17:44:01,R_0NBGdCqR5fNErI1,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,50—59 yrs. old,Hispanic,Strong Democrat,Leaning Independent,13,95,52,33,95,95,46,43,87,89,8,96,7,"Don't know, depends",Agree,Don't know,Most of the time,78,55,63,59,62,64,75,69,99,6,27,72,54,None of the time,Agree,Don't know,Some of the time,95,84,19,2,63,49,95,66,71,94,74,1,79,"Don't know, depends",Agree,Care a good deal,Some of the time,87,77,80,94,29,31,33,23,11,34,14,70,11,Some of the time,Neither,Care a good deal,Some of the time,6,41,40,12,9,39,76,87,66,3,22,59,94,Just about always,Agree,Don't know,Some of the time,83,62,97,100,19,46,93,20,61,27,17,46,36,"Don't know, depends",Agree,Don't know,Only now and then,6,70,41,81,57,85,22,84,58,69,73,44,76,Some of the time,Neither,Don't care,Hardly at all,35,76,37,36,52,61,37,26,3,54,22,35,85,Most of the time,Agree,Don't know,Only now and then,5,51,0,100,13,34,51,32,27,13,46,3,41,Most of the time,Disagree,Care a good deal,Only now and then,36,22,22,83,40,50,71,85,63,63,16,5,26,None of the time,Agree,Don't care,Most of the time,imgTagsChild.imgTag0,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_720.png""/>",720,2115,A new study shows hat 99% Of students handcuffed in school by NYPD in 2016 were black or latinx. A new study shows hat 99% Of students handcuffed in school by NYPD in 2016 were black or latinx Study Shows 99% Of Students Handcuffed In School By NYPD In 2016 Were Black Or Latinx BlackMattersUS.com blackmattersus.com,300,0,18 - 65+,05/24/17 08:00:14 AM PDT,https://blackmattersus.com/33608-study-shows-99-of-students-handcuffed-in-school-by-nypd-in-2016-were-black-or-latinx/,Living In: United States,Black America,157.1,RUB,bm,cluster_1,2017-05-24,20170524,41.5,MidAge,mid,mid,low
2019-01-26 17:44:01,2019-01-26 17:44:02,Survey Test,NA,100,1,True,2019-01-26 17:44:02,R_bgejJe0Iwv9a7KB,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,65+ yrs. old,Other / multiple,Strong Democrat,Strong Partisan,60,82,78,3,52,100,93,62,13,97,75,58,15,Just about always,Agree,Don't know,Most of the time,78,0,56,65,61,63,57,93,77,35,92,68,10,Most of the time,Neither,Don't care,Only now and then,79,19,40,96,33,47,11,73,10,53,85,7,96,"Don't know, depends",Agree,Don't know,Hardly at all,35,88,59,52,38,1,87,31,12,31,55,41,94,Most of the time,Disagree,Don't know,Some of the time,37,0,27,75,19,70,33,37,65,82,30,66,41,Most of the time,Neither,Care a good deal,Some of the time,24,51,16,98,99,13,66,96,53,92,25,78,35,Just about always,Disagree,Don't care,Hardly at all,91,56,50,88,59,43,69,31,76,43,63,83,50,None of the time,Agree,Care a good deal,Most of the time,82,67,8,18,45,12,22,7,55,0,79,59,24,"Don't know, depends",Neither,Don't know,Only now and then,25,16,83,99,34,69,9,16,59,100,53,21,35,Just about always,Agree,Care a good deal,Hardly at all,98,54,60,30,30,31,64,22,98,38,1,33,3,None of the time,Agree,Care a good deal,Some of the time,imgTagsChild.imgTag4,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_2399.png""/>",2399,2086,When you let black ppl graduate.,1211,5990,18 - 65+,04/14/17 08-00-00 AM PDT,https://www.facebook.com/blackmattersus.mvmnt/,Living In: United States,Black America,199.96,RUB,bm,cluster_1,2017-04-14,20170414,41.5,MidAge,mid,high,high
2019-01-26 17:44:00,2019-01-26 17:44:00,Survey Test,NA,100,0,True,2019-01-26 17:44:00,R_dgqwpMZ03YLmpsp,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,18—29 yrs. old,White non-Hispanic,Independent Republican,Independent,47,49,30,16,34,1,57,91,89,80,91,5,87,Some of the time,Disagree,Care a good deal,Only now and then,50,3,13,95,90,38,12,46,65,8,3,23,61,None of the time,Agree,Care a good deal,Most of the time,89,77,74,10,8,75,13,96,71,97,18,4,63,None of the time,Neither,Don't know,Hardly at all,74,99,79,80,19,75,32,31,2,20,87,62,62,Most of the time,Disagree,Don't care,Only now and then,77,76,80,14,50,55,49,56,32,78,89,66,62,"Don't know, depends",Disagree,Don't know,Some of the time,95,83,95,39,91,86,45,52,4,70,94,9,99,"Don't know, depends",Neither,Care a good deal,Some of the time,56,13,94,26,61,41,70,15,23,66,88,59,45,"Don't know, depends",Agree,Don't care,Some of the time,91,27,64,97,39,18,63,87,15,11,47,60,28,Most of the time,Disagree,Don't know,Some of the time,66,69,43,25,66,62,82,66,76,47,24,56,43,None of the time,Agree,Don't know,Hardly at all,10,79,59,32,20,43,73,38,65,26,29,50,13,Most of the time,Disagree,Don't care,Most of the time,imgTagsChild.imgTag8,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_50.png""/>",50,3196,"Meet Stephanie Lampkin, Black women Engineer launches ̀Blind' Job Match App to take bias out of Tech Hiring. And actually, Stephanie Lampkin is a genius! She learned to code at age 13. By 15, she was a full-stack web developer, fluent in the languages of computer programming. She has a Stanford engineering degree and an MBA from MIT.",7,1946,18 - 65+,12/27/16 06:20:19 AM PST,https://www.facebook.com/Black4Black-1268698556482143/,Living In: United States,Black America,300,RUB,black4black,cluster_1,2016-12-27,20161227,41.5,MidAge,mid,mid,mid
2019-01-26 17:44:00,2019-01-26 17:44:00,Survey Test,NA,100,0,True,2019-01-26 17:44:00,R_dgqwpMZ03YLmpsp,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,18—29 yrs. old,White non-Hispanic,Independent Republican,Independent,47,49,30,16,34,1,57,91,89,80,91,5,87,Some of the time,Disagree,Care a good deal,Only now and then,50,3,13,95,90,38,12,46,65,8,3,23,61,None of the time,Agree,Care a good deal,Most of the time,89,77,74,10,8,75,13,96,71,97,18,4,63,None of the time,Neither,Don't know,Hardly at all,74,99,79,80,19,75,32,31,2,20,87,62,62,Most of the time,Disagree,Don't care,Only now and then,77,76,80,14,50,55,49,56,32,78,89,66,62,"Don't know, depends",Disagree,Don't know,Some of the time,95,83,95,39,91,86,45,52,4,70,94,9,99,"Don't know, depends",Neither,Care a good deal,Some of the time,56,13,94,26,61,41,70,15,23,66,88,59,45,"Don't know, depends",Agree,Don't care,Some of the time,91,27,64,97,39,18,63,87,15,11,47,60,28,Most of the time,Disagree,Don't know,Some of the time,66,69,43,25,66,62,82,66,76,47,24,56,43,None of the time,Agree,Don't know,Hardly at all,10,79,59,32,20,43,73,38,65,26,29,50,13,Most of the time,Disagree,Don't care,Most of the time,imgTagsChild.imgTag9,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_1861.png""/>",1861,3014,"Our aim, to make Christianity real for Blacks!",29,1339,18 - 51,10/14/16 06:01:41 AM PDT,https://www.facebook.com/Black—liberation—church-1160193507389202/,Living In: United States,Black America,2037.56,RUB,black baptist church,cluster_1,2016-10-14,20161014,34.5,LowAge,high,mid,mid
2019-01-26 17:44:00,2019-01-26 17:44:00,Survey Test,NA,100,0,True,2019-01-26 17:44:00,R_8q4Rc5AuslqfJv7,NA,NA,NA,NA,43.704498291015625,-72.285003662109375,test,NA,18—29 yrs. old,White non-Hispanic,Independent Republican,Strong Partisan,8,39,35,97,70,5,57,12,52,8,90,70,65,Most of the time,Agree,Care a good deal,Some of the time,59,93,41,19,42,21,8,83,4,0,3,1,99,Just about always,Disagree,Don't know,Only now and then,15,7,36,80,43,46,35,53,97,86,90,52,17,Most of the time,Agree,Don't care,Only now and then,99,53,76,99,40,32,99,72,36,62,47,33,24,Some of the time,Disagree,Care a good deal,Hardly at all,39,70,8,82,77,9,75,41,2,44,29,86,22,Just about always,Agree,Don't know,Some of the time,53,78,3,98,37,92,2,73,91,98,79,15,27,"Don't know, depends",Neither,Don't know,Only now and then,84,47,54,69,88,23,75,39,37,47,11,88,81,None of the time,Disagree,Don't know,Only now and then,23,54,63,22,6,96,94,28,93,44,52,33,42,None of the time,Agree,Don't know,Most of the time,29,75,91,37,17,86,40,34,84,34,25,89,18,Most of the time,Agree,Care a good deal,Most of the time,33,63,73,45,93,60,14,15,96,38,48,41,50,Just about always,Disagree,Care a good deal,Only now and then,imgTagsChild.imgTag4,"<img src=""https://storage.cloud.google.com/thesis-ira-ads/ira_ad_1068.png""/>",1068,2892,"At the Last Supper Jesus says: He said to them, ""But now if you have a purse, take it, and also a bag; and if you don't have a sword, sell your cloak and buy one."" — Luke 22:36 What does that mean? Jesus always stood for peace and non-violence. But enemies often issued threats towards Him and His disciples. There's always was a risk for them to be arrested and subjected to a great violence, and be followed with rage and persecution; so that they might seem to stand in need of swords to defend them: the phrase is expressive of the danger they would be exposed to, and of their need of protection. And we, American Christians, should remember about it. Sometimes you have to arm yourself to protect your loved ones and friends.",28,159,18 - 65+,10/12/16 03:18:17 AM PDT,https://www.facebook.com/Army-of-Jesus-1195795607160174/,Living In: United States,Right Wing,100,RUB,army of jesus,cluster_2,2016-10-12,20161012,41.5,MidAge,mid,mid,mid
